"","Nombre","Equipo","Minutos","T.Amarillas","Goles","Fueras.De.Juego","Faltas.Recibidas","Faltas.Cometidas","Centros","Corners","Entradas","Duelos","Duelos.Cuerpo","Duelos.Aire","Pases","Pases.Cortos","Pases.Largos","Pases.Hueco","Tiros","Tiros.Puerta","Asistencias","Regates.Exito","Regates.Fracaso","Recuperaciones","Entradas.Exito","Entradas.Fracaso","Duelos.Cuerpo.Exito","Duelos.Cuerpo.Fracaso","Duelos.Aire.Exito","Duelos.Aire.Fracaso","Precision.Tiros","Regates","Precision.Regates","Importante"
"159","Feddal","BET",1257,7,3,1,16,20,3,0,22,113,68,45,812,634,178,0,5,3,0,3,0,73,14,8,40,28,28,17,0.6,3,1,0
"160","Fede Cartabia","DEP",1332,6,2,4,47,23,39,16,36,235,205,30,525,482,40,3,24,9,1,35,17,93,23,13,117,88,5,25,0.375,52,0.673076923076923,0
"161","Fede Valverde","DEP",1229,0,0,1,3,14,12,4,25,96,67,29,576,506,68,2,14,4,0,7,6,81,16,9,35,32,15,14,0.285714285714286,13,0.538461538461538,0
"162","Fernando Navarro","DEP",1042,5,0,0,12,19,12,0,32,115,82,33,442,375,67,0,0,0,0,8,0,52,22,10,52,30,18,15,0,8,1,0
"163","Fernando Torres","ATM",966,2,5,10,23,17,2,0,11,198,106,92,241,226,13,2,25,13,0,17,17,35,8,3,47,59,50,42,0.52,34,0.5,0
"165","Filipe Luis","ATM",1660,4,1,1,27,16,43,1,83,223,194,29,948,868,80,0,5,2,2,26,18,111,52,31,135,59,18,11,0.4,44,0.590909090909091,0
"166","Fontàs","CEL",884,2,0,0,0,7,0,0,13,56,32,24,722,618,103,1,1,0,1,0,0,51,9,4,13,19,10,14,0,0,0,0
"169","Franco Vázquez","SEV",1845,4,4,9,61,47,32,1,39,354,283,71,862,806,46,10,42,13,6,32,24,119,32,7,127,156,38,33,0.30952380952381,56,0.571428571428571,0
"170","G. Cabral","CEL",1890,5,1,2,4,14,0,0,29,169,73,96,1278,1112,166,0,7,2,1,1,0,109,21,8,32,41,58,38,0.285714285714286,1,1,0
"171","Gabi","ATM",2346,8,0,1,23,51,18,29,80,286,249,37,1721,1515,202,4,7,1,1,10,5,235,49,31,111,138,19,18,0.142857142857143,15,0.666666666666667,1
"172","Gabriel Mercado","SEV",2122,9,0,6,16,36,23,0,55,217,139,78,956,842,113,1,14,7,1,4,3,118,37,18,73,66,41,37,0.5,7,0.571428571428571,1
"173","Gabriel","LEG",2383,6,5,1,51,56,14,0,89,569,368,201,1169,1028,135,6,33,15,2,49,29,208,69,20,187,181,112,89,0.454545454545455,78,0.628205128205128,1
"174","Gabriel","VAL",2584,5,0,0,19,23,1,0,47,192,99,93,1365,1201,163,1,15,4,0,5,0,166,27,20,66,33,64,29,0.266666666666667,5,1,1
"175","Gaku Shibasaki","GET",1003,1,1,5,13,27,19,15,21,146,109,37,328,293,31,4,7,3,0,12,5,58,10,11,46,63,6,31,0.428571428571429,17,0.705882352941177,0
"176","Gálvez","LPA",1979,6,1,5,20,36,2,0,60,245,158,87,1146,905,241,0,16,5,0,10,2,166,39,21,88,70,53,34,0.3125,12,0.833333333333333,1
"177","Gameiro","ATM",1119,0,7,12,9,9,2,0,11,108,71,37,230,228,2,0,16,14,2,9,6,30,9,2,29,42,9,28,0.875,15,0.6,0
"179","Gayá","VAL",2917,11,0,5,45,35,94,0,77,314,261,53,1353,1208,143,2,11,3,3,38,24,176,60,17,160,101,24,29,0.272727272727273,62,0.612903225806452,1
"181","Gerard","ESP",3413,4,16,36,78,56,39,0,41,697,394,303,1198,1076,112,10,85,48,1,63,50,146,28,13,176,218,138,165,0.564705882352941,113,0.557522123893805,1
"182","Giménez","ATM",1684,6,1,2,18,15,2,0,38,179,90,89,736,567,169,0,12,2,1,6,2,107,27,11,61,29,58,31,0.166666666666667,8,0.75,0
"183","Godín","ATM",2554,6,0,5,26,46,0,0,50,235,140,95,1211,1007,203,1,12,5,0,6,1,135,33,17,79,61,57,38,0.416666666666667,7,0.857142857142857,1
"184","Gonçalo Guedes","VAL",2441,2,5,10,70,35,49,6,38,375,349,26,892,825,58,9,42,22,9,81,48,133,26,12,187,162,11,15,0.523809523809524,129,0.627906976744186,1
"185","Granell","GIR",2853,10,1,0,39,70,110,90,78,399,350,49,1672,1349,320,3,32,8,7,48,8,230,53,25,165,185,24,25,0.25,56,0.857142857142857,1
"186","Granero","ESP",1222,5,1,1,21,19,24,39,32,165,127,38,690,626,63,1,12,2,2,9,8,85,22,10,62,65,13,25,0.166666666666667,17,0.529411764705882,0
"187","Griezmann","ATM",2529,6,19,26,44,24,26,18,36,284,198,86,1028,942,73,13,61,40,9,28,18,120,24,12,107,91,26,60,0.655737704918033,46,0.608695652173913,1
"188","Guaita","GET",2970,1,0,0,4,0,0,0,0,18,3,15,925,106,819,0,0,0,0,0,0,330,0,0,3,0,14,1,0,0,0,1
"189","Guardado","BET",2266,7,2,2,39,31,56,43,41,257,220,37,1461,1301,148,12,30,9,8,22,11,166,27,14,101,119,18,19,0.3,33,0.666666666666667,1
"190","Guidetti","ALA",1338,3,3,11,16,33,13,1,7,178,97,81,385,361,20,4,29,14,3,8,4,44,7,0,29,68,33,48,0.482758620689655,12,0.666666666666667,0
