Nombre;Equipo;Am.;Roj.;Dob.;F. J.;Faltas R.;Faltas C.;Pen. R.;Pen. C.;Manos;FxT
Muniesa;GIR;3;0;0;0;9;12;0;0;0;2,0
Munir;ALA;7;0;1;45;114;33;0;0;3;13,0
Murillo;VAL;4;0;0;2;15;16;0;1;0;8,0
Muñoz;LEG;2;0;0;2;6;18;0;0;0;4,0
N'Zonzi;SEV;2;0;0;2;13;31;0;0;1;4,0
N. Semedo;BAR;1;0;0;3;21;12;1;0;0;1,0
Nacho;RMA;7;0;0;0;28;33;0;1;0;14,0
Nacho Gil;LPA;1;0;0;2;33;20;1;0;2;2,0
Nahuel;BET;2;0;0;0;6;7;0;0;1;6,0
Naldo;ESP;2;0;0;1;0;7;0;1;1;4,0
Nano;LEV;1;0;0;5;4;8;0;0;0;2,0
Nemanja Maksimovic;VAL;1;0;0;0;2;5;0;0;0;1,0
Neto;VAL;2;0;0;0;4;0;0;0;0;0,0
Nolito;SEV;4;0;0;20;24;17;0;0;1;4,0
O. Duarte;ESP;1;0;0;0;6;8;0;0;0;1,0
Oblak ;ATM;1;0;0;0;3;2;0;1;0;1,0
Oier;LEV;2;0;0;0;4;2;0;1;0;0,0
Olunga;GIR;0;0;0;7;2;12;0;0;0;0,0
Omar R.;LEG;3;0;0;2;18;14;0;0;2;3,0
Orellana;EIB;4;0;1;5;20;15;0;0;0;8,0
P. Hernández ;CEL;5;0;0;8;62;54;0;1;1;13,0
P. León;EIB;1;0;0;3;10;12;0;0;2;1,0
P. Mosquera;DEP;7;0;0;0;12;32;0;1;0;12,0
Pablo Fornals;VIL;4;0;0;2;32;34;0;0;3;6,0
Pablo Maffeo;GIR;11;0;0;1;35;30;1;1;1;18,0
Pablo Sarabia;SEV;7;0;1;20;41;46;0;0;3;19,0
Pacheco;GET;0;0;0;0;0;0;0;0;0;0,0
Pacheco;ALA;2;0;0;0;3;0;0;0;0;0,0
Pareja;SEV;2;0;0;0;2;10;0;0;0;6,0
Pau López;ESP;3;0;0;0;5;0;0;0;0;0,0
Paulinho;BAR;2;0;0;4;33;32;0;0;0;3,0
Paulo;EIB;3;0;0;0;12;15;0;0;1;4,0
Pazzini;LEV;1;0;0;5;11;10;0;0;1;1,0
Pedraza;ALA;5;0;0;5;22;46;2;0;1;12,0
Pedro López;LEV;4;0;0;4;29;19;0;0;1;4,0
Pere Pons;GIR;8;0;0;0;35;59;0;1;0;22,0
Peñalba;LPA;3;0;0;0;4;9;0;0;0;2,0
Peñaranda;MGA;3;0;0;3;27;28;0;0;1;8,0
Piatti;ESP;0;0;0;7;52;35;1;0;1;0,0
Piqué;BAR;9;0;0;3;11;23;1;0;2;13,0
Planas;GIR;0;0;0;0;0;1;0;0;0;0,0
Portillo;GET;6;0;0;2;29;27;0;0;2;9,0
Portu;GIR;5;0;0;23;55;54;1;0;3;9,0
Postigo;LEV;6;0;0;0;15;12;0;0;0;6,0
R. Albentosa;DEP;5;0;0;1;14;15;0;1;0;12,0
Radoja;CEL;3;0;0;1;15;11;0;0;1;5,0
Rafa Navarro;BET;0;0;0;0;3;2;0;0;0;0,0
Rakitić;BAR;4;0;0;3;46;33;0;0;0;8,0
Ramalho;GIR;3;0;0;1;12;20;0;1;1;2,0
Ramis ;EIB;4;0;0;2;8;11;0;0;0;3,0
Raúl C.;LEG;1;0;0;0;17;10;0;0;0;1,0
Raúl García;ATH;10;0;0;16;74;79;2;0;2;28,0
Raúl Lizoain;LPA;0;0;0;0;3;0;0;0;0;0,0
Raúl Navas;RSO;4;0;0;0;6;13;0;0;0;4,0
Recio;MGA;9;0;1;1;44;42;0;0;2;27,0
Ricca;MGA;4;0;0;0;6;18;0;0;1;5,0
Rico;LEG;8;0;1;4;43;37;0;3;0;19,0
Riesgo;EIB;0;0;0;0;0;0;0;0;0;0,0
Rivera;EIB;0;0;0;0;1;3;0;0;0;0,0
Riza Durmisi;BET;4;0;0;2;10;15;0;0;0;5,0
Roberto;MGA;0;0;0;0;3;1;0;0;0;0,0
Roberto Rosales ;MGA;10;0;0;3;22;47;1;2;4;19,0
Roberto Soriano;VIL;3;0;0;7;32;36;0;0;5;9,0
Rochina;LEV;0;1;0;0;4;2;0;0;0;0,0
Rodri;VIL;8;0;0;2;35;78;0;0;1;24,0
Rodrigo;VAL;4;0;0;20;40;28;2;0;2;6,0
Rodrigo Ely;ALA;10;0;1;2;19;29;0;3;1;18,0
Roger;LEV;4;0;0;5;14;17;0;0;1;6,0
Roger Martínez;VIL;1;0;0;1;10;6;0;0;0;1,0
Rolón;MGA;1;0;0;0;4;12;0;0;0;4,0
Ronaldo;RMA;1;0;0;40;18;19;1;0;0;2,0
Roque Mesa;SEV;2;0;0;0;6;10;0;0;0;3,0
Rubén;DEP;3;0;0;0;5;0;0;0;0;0,0
Rubén Blanco;CEL;3;1;0;0;0;1;0;0;0;1,0
Rubén Castro;BET;0;0;0;6;5;1;0;0;0;0,0
Rubén Pardo;RSO;0;1;0;0;1;1;0;0;0;1,0
Rubén Peña;EIB;1;0;0;5;18;15;0;0;0;1,0
Rubén Pérez J.;LEG;13;0;0;0;47;44;0;0;0;24,0
Rukavina;VIL;5;0;0;0;3;18;0;1;0;5,0
Rulli;RSO;3;0;0;0;2;1;0;1;0;0,0
Ryad Boudebouz;BET;2;0;0;1;17;21;0;0;0;2,0
Róber;LEV;4;0;0;0;7;17;0;1;0;9,0
Rúben Semedo;VIL;0;0;0;0;1;1;0;0;0;0,0
S. Asenjo ;VIL;3;0;0;0;3;2;0;1;0;1,0
S. Castillejo;VIL;4;0;0;7;66;42;2;0;2;7,0
S. García;ESP;4;0;0;13;35;18;0;0;2;4,0
S. Sánchez;ESP;1;0;0;0;0;2;0;0;0;1,0
Sabin Merino;ATH;1;0;0;2;6;7;1;0;2;2,0
Saborit;ATH;5;0;0;1;13;20;0;0;0;10,0
Sadiku;LEV;1;0;0;2;1;6;0;0;0;1,0
Salem;VIL;1;0;0;1;1;1;0;0;0;1,0
Samuel;MGA;2;1;0;1;6;22;0;0;0;5,0
Samuel Umtiti;BAR;7;0;0;4;25;22;0;0;0;8,0
San José;ATH;5;0;0;0;8;39;0;0;2;17,0
Sanabria;BET;0;0;0;8;15;12;0;0;0;0,0
Sandro;SEV;0;0;0;5;22;17;1;0;0;0,0
Sansone;VIL;1;0;0;9;12;3;1;0;0;0,0
